Rank,Universitas,Negara,Score,lat,lon
1Top 0.1%,Harvard University,USA,100.0,42.3657432,-71.1222139
2Top 0.1%,Massachusetts Institute of Technology,USA,96.7,42.3582529,-71.0966272
3Top 0.1%,Stanford University,USA,95.2,37.4313138,-122.1693654
4Top 0.1%,University of Cambridge,United Kingdom,94.1,52.1890916,0.1212977
5Top 0.1%,University of Oxford,United Kingdom,93.3,51.7525461,-1.21433
6Top 0.1%,Princeton University,USA,92.6,40.3386752,-74.6583655
7Top 0.1%,University of Chicago,USA,92.1,41.7913274,-87.6008421
8Top 0.1%,Columbia University,USA,91.6,40.8077508,-73.9624901
9Top 0.1%,University of Pennsylvania,USA,91.2,39.9503945,-75.1946713
10Top 0.1%,Yale University,USA,90.8,41.2571306,-72.9896696
11Top 0.1%,California Institute of Technology,USA,90.4,34.1370138,-118.1252883
12Top 0.1%,"University of California, Berkeley",USA,90.1,37.8643299,-122.2476871
13Top 0.1%,University of Tokyo,Japan,89.8,35.7117157,139.7637457
14Top 0.1%,Cornell University,USA,89.5,42.4529076,-76.4800842
15Top 0.1%,Northwestern University,USA,89.3,42.0557157,-87.6752945
16Top 0.1%,"University of Michigan, Ann Arbor",USA,89.1,42.2942142,-83.7100389
17Top 0.1%,Johns Hopkins University,USA,88.8,39.3302023,-76.6218536
18Top 0.1%,"University of California, Los Angeles",USA,88.6,34.0708777,-118.4468503
19Top 0.1%,University College London,United Kingdom,88.4,51.5242031,-0.1330007
20Top 0.1%,Duke University,USA,88.2,36.0001557,-78.9442297
21Top 0.2%,PSL University,France,88.0,48.8417072,2.3447923
23Top 0.2%,University of Toronto,Canada,87.7,43.6608141,-79.3960322
24Top 0.2%,New York University,USA,87.5,40.7292053,-73.9950148
25Top 0.2%,University of Washington,USA,87.4,47.6554303,-122.3001692
26Top 0.2%,McGill University,Canada,87.2,45.5068861,-73.5787118
27Top 0.2%,Kyoto University,Japan,87.1,35.0270467,135.7814382
28Top 0.2%,University of Wisconsin–Madison,USA,87.0,43.0802745,-89.4309587
29Top 0.2%,Imperial College London,United Kingdom,86.8,51.4989595,-0.1756407
30Top 0.2%,ETH Zurich,Switzerland,86.7,47.413218,8.5374914
31Top 0.2%,Seoul National University,South Korea,86.6,37.4668979,126.9477791
32Top 0.2%,Paris-Saclay University,France,86.4,48.7128733,2.1648118
33Top 0.2%,"University of California, San Diego",USA,86.3,32.8670902,-117.2059976
34Top 0.2%,University of Texas at Austin,USA,86.2,30.2851494,-97.7339352
35Top 0.2%,University of Copenhagen,Denmark,86.1,55.6801502,12.572327
36Top 0.2%,"University of California, San Francisco",USA,86.0,37.7627257,-122.4582568
37Top 0.2%,University of North Carolina at Chapel Hill,USA,85.9,35.9050354,-79.0477533
38Top 0.2%,Karolinska Institute,Sweden,85.8,59.2195496,17.9400549
39Top 0.2%,Paris City University,France,85.7,60.4493735,22.2950204
40Top 0.2%,King's College London,United Kingdom,85.6,51.5030855,-0.0900021
41Top 0.2%,Sorbonne University,France,85.5,48.8468997,2.3574487
42Top 0.3%,Dartmouth College,USA,85.4,43.7046757,-72.2942089
43Top 0.3%,Washington University in St. Louis,USA,85.3,38.6472402,-90.3084017
44Top 0.3%,Tsinghua University,China,85.2,40.0022905,116.320963
45Top 0.3%,Institut Polytechnique de Paris,France,85.1,48.7139028,2.2141075
46Top 0.3%,Ludwig Maximilian University of Munich,Germany,85.0,48.1504757,11.5798356
48Top 0.3%,University of Edinburgh,United Kingdom,84.9,55.9440765,-3.1883736
49Top 0.3%,Peking University,China,84.8,40.1750746,116.1593872
50Top 0.3%,University of Manchester,United Kingdom,84.7,53.4660226,-2.2330858
51Top 0.3%,University of British Columbia,Canada,84.6,49.2484638,-123.2341555
52Top 0.3%,"University of California, Davis",USA,84.5,38.5337904,-121.7907544
53Top 0.3%,University of Southern California,USA,84.5,34.021869,-118.2858579
54Top 0.3%,Pennsylvania State University,USA,84.4,40.8128971,-77.8710571
55Top 0.3%,University of Chinese Academy of Sciences,China,84.3,40.0021965,116.3734052
56Top 0.3%,Vanderbilt University,USA,84.2,36.1438011,-86.8028189
57Top 0.3%,University of Melbourne,Australia,84.2,-37.8241371,144.9170886
59Top 0.3%,Humboldt University of Berlin,Germany,84.0,52.5183402,13.3929202
60Top 0.3%,Ohio State University,USA,84.0,40.0056802,-83.0286612
61Top 0.3%,Rockefeller University,USA,83.9,40.7624395,-73.9557565
62Top 0.4%,Rutgers University,USA,83.8,40.5204169,-74.4645303
63Top 0.4%,University of Zurich,Switzerland,83.8,47.4968435,8.7298072
64Top 0.4%,Brown University,USA,83.7,41.8186395,-71.4088009
65Top 0.4%,Purdue University,USA,83.6,40.430028,-86.9264211
66Top 0.4%,University of Colorado Boulder,USA,83.6,40.0070061,-105.2664423
67Top 0.4%,Georgia Institute of Technology,USA,83.5,33.7760948,-84.3988077
68Top 0.4%,Heidelberg University,Germany,83.5,49.4186003,8.6692402
69Top 0.4%,"Texas A&M University, College Station",USA,83.4,30.6108618,-96.3520606
70Top 0.4%,Hebrew University of Jerusalem,Israel,83.3,31.7918555,35.244723
71Top 0.4%,University of Virginia,USA,83.3,38.0410576,-78.5055084
72Top 0.4%,Utrecht University,Netherlands,83.2,52.1592134,5.3799549
73Top 0.4%,University of Texas Southwestern Medical Center,USA,83.2,32.812043,-96.8417201
74Top 0.4%,Shanghai Jiao Tong University,China,83.1,31.2008912,121.4283949
75Top 0.4%,University of Pittsburgh,USA,83.0,40.444153,-79.962461
76Top 0.4%,University of Alberta,Canada,83.0,53.52682,-113.5244937
77Top 0.4%,Uppsala University,Sweden,82.9,59.8576363,17.6294616
78Top 0.4%,Technical University of Munich,Germany,82.9,48.2654976,11.6692249
79Top 0.4%,"University of Maryland, College Park",USA,82.8,38.9904124,-76.9438586
80Top 0.4%,University of Amsterdam,Netherlands,82.8,52.3681334,4.8898042
81Top 0.4%,National University of Singapore,Singapore,82.7,1.2959845,103.7766186
82Top 0.4%,"University of California, Irvine",USA,82.7,33.6429469,-117.8401606
83Top 0.5%,University of Oslo,Norway,82.6,59.9414173,10.7227683
84Top 0.5%,University of Birmingham,United Kingdom,82.6,52.4522956,-1.9312857
85Top 0.5%,Zhejiang University,China,82.5,30.521595,120.7195312
86Top 0.5%,University of Florida,USA,82.5,29.6411884,-82.3562296
87Top 0.5%,Weizmann Institute of Science,Israel,82.4,31.9078499,34.8133409
88Top 0.5%,Leiden University,Netherlands,82.4,52.1686355,4.4597028
89Top 0.5%,Fudan University,China,82.3,31.3011748,121.4974703
90Top 0.5%,Boston University,USA,82.3,42.3504215,-71.1032247
91Top 0.5%,University of Rochester,USA,82.2,43.129864,-77.628784
92Top 0.5%,University of Sydney,Australia,82.2,-33.8889073,151.1894111
93Top 0.5%,University of Bristol,United Kingdom,82.1,51.4905582,-2.6304825
94Top 0.5%,Erasmus University Rotterdam,Netherlands,82.1,51.9176312,4.5259623
95Top 0.5%,University of Arizona,USA,82.1,32.235681,-110.951744
96Top 0.5%,École Polytechnique Fédérale de Lausanne,Switzerland,82.0,46.5186594,6.5665615
98Top 0.5%,"University of California, Santa Barbara",USA,81.9,34.4146025,-119.84581
99Top 0.5%,Carnegie Mellon University,USA,81.9,40.4439193,-79.9428267
100Top 0.5%,Osaka University,Japan,81.8,34.5111992,135.631448
101Top 0.5%,Aarhus University,Denmark,81.8,56.1670905,10.2026177
102Top 0.5%,National Taiwan University,Taiwan,81.8,25.0168175,121.5384571
103Top 0.6%,Keio University,Japan,81.7,35.5538164,139.6414098
104Top 0.6%,University of New South Wales,Australia,81.7,-33.9175994,151.2312369
105Top 0.6%,University of Queensland,Australia,81.6,-27.4981424,153.0111536
106Top 0.6%,University of Groningen,Netherlands,81.6,53.2194416,6.5629863
107Top 0.6%,KU Leuven,Belgium,81.6,50.8057129,3.2915374
108Top 0.6%,University of Leeds,United Kingdom,81.5,53.8057925,-1.555111
109Top 0.6%,University of São Paulo,Brazil,81.5,-23.561048,-46.7277061
110Top 0.6%,University of Geneva,Switzerland,81.4,46.1985541,6.1509888
111Top 0.6%,University of Basel,Switzerland,81.4,47.5612651,7.5752961
112Top 0.6%,University of Texas MD Anderson Cancer Center,USA,81.4,29.7076703,-95.3978436
113Top 0.6%,University of Tübingen,Germany,81.3,48.5340595,9.0712444
114Top 0.6%,Indiana University Bloomington,USA,81.3,39.1802358,-86.5093526
115Top 0.6%,University of Bonn,Germany,81.2,50.7338124,7.1022465
117Top 0.6%,University of Utah,USA,81.2,40.7628137,-111.8368719
118Top 0.6%,Nagoya University,Japan,81.1,35.1533086,136.9677806
119Top 0.6%,University of Science and Technology of China,China,81.1,31.839072,117.2642075
120Top 0.6%,INSEAD,France,81.1,48.4055966,2.6846928
121Top 0.6%,Monash University,Australia,81.0,-37.7839745,144.9586743
122Top 0.6%,University of Montreal,Canada,81.0,45.508393,-73.580417
123Top 0.6%,Sun Yat-sen University,China,80.9,23.0996034,113.2923509
124Top 0.7%,Ghent University,Belgium,80.9,51.0078485,3.7108831
125Top 0.7%,University of Southampton,United Kingdom,80.9,50.9617568,-1.4239975
126Top 0.7%,University of Helsinki,Finland,80.8,60.2267221,25.01767
127Top 0.7%,Huazhong University of Science and Technology,China,80.8,30.5202172,114.4118463
128Top 0.7%,Australian National University,Australia,80.8,-35.2812742,149.1172023
129Top 0.7%,University of Glasgow,United Kingdom,80.7,55.871666,-4.2778997
130Top 0.7%,University of Freiburg,Germany,80.7,48.0070218,7.837321
131Top 0.7%,Emory University,USA,80.7,33.8004547,-84.3172378
132Top 0.7%,Baylor College of Medicine,USA,80.6,29.7105439,-95.3958079
133Top 0.7%,Nanyang Technological University,Singapore,80.6,1.3484104,103.6829332
134Top 0.7%,University of Barcelona,Spain,80.6,41.3868596,2.1634784
135Top 0.7%,University of Strasbourg,France,80.5,48.5817042,7.7646555
136Top 0.7%,University of Liverpool,United Kingdom,80.5,53.4072429,-2.9658337
137Top 0.7%,University of Bern,Switzerland,80.5,46.9509726,7.4386841
138Top 0.7%,Goethe University Frankfurt,Germany,80.4,50.1716692,8.6279846
139Top 0.7%,University of Nottingham,United Kingdom,80.4,52.9387428,-1.2002957
140Top 0.7%,KTH Royal Institute of Technology,Sweden,80.4,59.2016758,17.6203201
141Top 0.7%,Lund University,Sweden,80.3,55.7126504,13.2107587
142Top 0.7%,Case Western Reserve University,USA,80.3,41.501387,-81.6007022
143Top 0.7%,Tohoku University,Japan,80.3,38.2581115,140.8360434
144Top 0.8%,University of Colorado Anschutz Medical Campus,USA,80.3,39.7446494,-104.8386619
145Top 0.8%,University of Iowa,USA,80.2,41.6311024,-91.540752
146Top 0.8%,Stockholm University,Sweden,80.2,59.366141,18.059593
147Top 0.8%,Nanjing University,China,80.2,32.0565957,118.7740883
148Top 0.8%,VU Amsterdam,Netherlands,80.1,52.3340539,4.8651882
149Top 0.8%,Grenoble Alpes University,France,80.1,45.189777,5.7712026
150Top 0.8%,University of Western Australia,Australia,80.1,-31.950652,115.7978755
151Top 0.8%,Michigan State University,USA,80.0,42.7023794,-84.4803869
152Top 0.8%,University of Sheffield,United Kingdom,80.0,53.3729622,-1.5059315
153Top 0.8%,Tufts University,USA,80.0,42.4064499,-71.1180771
154Top 0.8%,Tel Aviv University,Israel,80.0,32.1123577,34.8050129
155Top 0.8%,Queen Mary University of London,United Kingdom,79.9,51.5247403,-0.0393136
156Top 0.8%,Cardiff University,United Kingdom,79.9,51.4887426,-3.1795999
157Top 0.8%,Aix-Marseille University,France,79.9,43.3055875,5.3786102
158Top 0.8%,University of Hong Kong,China,79.8,22.2826975,114.138455
159Top 0.8%,Korea University,South Korea,79.8,36.6108894,127.2934174
160Top 0.8%,Yonsei University,South Korea,79.8,37.567836,126.9393747
161Top 0.8%,Radboud University,Netherlands,79.8,51.8215173,5.8634329
162Top 0.8%,Newcastle University,United Kingdom,79.7,54.9801751,-1.6146802
163Top 0.8%,Xi'an Jiaotong University,China,79.7,31.2757194,120.7354789
164Top 0.8%,Icahn School of Medicine at Mount Sinai,USA,79.7,40.789793,-73.9532536
165Top 0.9%,Tokyo Institute of Technology,Japan,79.6,35.6050487,139.682751
167Top 0.9%,Rice University,USA,79.6,29.7167915,-95.4047811
168Top 0.9%,University of Gothenburg,Sweden,79.6,57.6985465,11.9712422
169Top 0.9%,University of Massachusetts Amherst,USA,79.5,42.3893259,-72.5283614
170Top 0.9%,Wuhan University,China,79.5,30.5373581,114.361517
171Top 0.9%,University of Padova,Italy,79.5,45.4066496,11.8774407
172Top 0.9%,University of Hamburg,Germany,79.5,53.564106,9.9949809
173Top 0.9%,Chinese University of Hong Kong,China,79.4,22.4140914,114.2100208
174Top 0.9%,McMaster University,Canada,79.4,43.2639397,-79.9178252
175Top 0.9%,Tianjin University,China,79.4,39.1072533,117.1778919
176Top 0.9%,Technion – Israel Institute of Technology,Israel,79.4,32.7768128,35.0225446
177Top 0.9%,University of Warwick,United Kingdom,79.3,52.3813073,-1.5639569
178Top 0.9%,Norwegian University of Science and Technology,Norway,79.3,63.4480239,10.4536394
179Top 0.9%,Xiamen University,China,79.3,24.4399419,118.0930178
180Top 0.9%,University of Milan,Italy,79.3,45.4757322,9.2282917
181Top 0.9%,Wageningen University & Research,Netherlands,79.2,51.985445,5.663212
